City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,trairi,-3.2778,-39.2689,26.09,78,2,5.54,BR,1697074912
126,nar'yan-mar,67.6713,53.087,1.17,76,9,4.02,RU,1697074530
127,romorantin-lanthenay,47.4167,1.8333,16.65,77,0,2.06,FR,1697075118
128,ust'-kulom,61.6864,53.6902,0.72,86,100,1.79,RU,1697075118
129,el molino,10.6523,-72.924,26.23,93,61,1.16,CO,1697075118
130,mbekenyera,-10.0,38.9833,20.98,85,85,1.58,TZ,1697075118
131,newman,37.3138,-121.0208,20.72,42,0,4.47,US,1697075095
132,georgetown,5.4112,100.3354,29.97,89,40,2.24,MY,1697075118
133,port augusta,-32.5,137.7667,21.33,29,0,9.24,AU,1697074603
134,berezovo,63.9381,65.0419,-0.02,84,98,0.89,RU,1697075119
135,ribeira grande,38.5167,-28.7,19.32,89,38,2.24,PT,1697074564
136,northam,51.0333,-4.2167,16.81,98,100,2.36,GB,1697074524
137,buurhakaba,2.8026,44.0781,24.83,79,100,4.91,SO,1697075120
138,valdosta,30.8327,-83.2785,18.88,80,75,5.14,US,1697074930
139,shubarkuduk,49.1447,56.4872,4.49,53,5,1.95,KZ,1697075120
140,merizo village,13.2658,144.6691,31.31,87,100,10.57,GU,1697075120
141,port maria,18.3685,-76.8895,29.98,96,13,4.57,JM,1697075121
142,port-vila,-17.7338,168.3219,26.78,61,75,6.17,VU,1697075121
143,general villegas,-35.0328,-63.0125,6.59,35,0,2.36,AR,1697075121
144,ust-nera,64.5667,143.2,-10.44,91,100,1.34,RU,1697074576
145,mali,12.079,-12.2982,14.94,99,100,1.2,GN,1697075121
146,acarau,-2.8856,-40.12,26.14,79,53,6.67,BR,1697074567
147,nemuro,43.3236,145.575,14.22,61,0,5.25,JP,1697075122
148,klaksvik,62.2266,-6.589,5.51,62,100,8.79,FO,1697074523
149,constantia,44.1833,28.65,9.38,68,7,3.74,RO,1697074541
150,walvis bay,-22.9575,14.5053,14.53,88,0,1.03,NA,1697074550
151,hermanus,-34.4187,19.2345,15.39,87,99,3.35,ZA,1697074523
152,carnarvon,-24.8667,113.6333,25.53,44,31,6.14,AU,1697074552
153,siwa oasis,29.2041,25.5195,22.06,60,0,2.11,EG,1697075122
154,recani,31.2846,-4.2688,21.75,31,31,1.16,MA,1697075123
155,tocopilla,-22.092,-70.1979,18.33,73,20,3.32,CL,1697074914
156,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,73,75,6.71,RU,1697074575
157,berezovyy,51.6667,135.7,15.5,48,12,3.28,RU,1697074594
158,lorengau,-2.0226,147.2712,29.48,72,28,3.53,PG,1697075123
159,lajas,18.05,-67.0593,28.47,57,72,0.89,PR,1697075123
160,kingston,17.997,-76.7936,29.53,80,20,3.09,JM,1697074474
161,choyr,46.3611,108.3611,7.37,45,2,1.58,MN,1697075124
162,maragogi,-9.0122,-35.2225,23.74,80,1,2.47,BR,1697074917
163,wanxian,30.8039,108.3897,17.44,93,100,1.47,CN,1697075124
164,kalifornsky,60.4183,-151.29,5.19,60,75,4.63,US,1697075124
165,boguchany,58.3814,97.4531,12.7,70,100,2.68,RU,1697075124
166,afaahiti,-17.75,-149.2833,28.93,79,24,7.0,PF,1697074615
167,port lincoln,-34.7333,135.8667,16.16,55,18,8.76,AU,1697074585
168,kununurra,-15.7667,128.7333,31.99,58,63,2.57,AU,1697074261
169,port blair,11.6667,92.75,26.02,94,40,0.51,IN,1697074538
170,curillo,1.0333,-75.9191,23.62,80,84,0.55,CO,1697074585
171,hamilton,39.1834,-84.5333,16.12,65,0,1.54,US,1697074352
172,donghai,22.9459,115.642,25.25,70,38,1.92,CN,1697075126
173,taoudenni,22.6783,-3.9836,28.34,17,0,4.99,ML,1697075126
174,klyuchi,52.2667,79.1667,8.83,47,100,1.57,RU,1697075126
175,geraldton,-28.7667,114.6,26.23,21,42,5.66,AU,1697075126
176,mar del plata,-38.0023,-57.5575,7.27,72,20,1.54,AR,1697074323
177,houghton,47.1219,-88.569,5.99,95,0,2.57,US,1697075127
178,aykhal,66.0,111.5,1.71,71,100,11.62,RU,1697074596
179,buala,-8.145,159.5921,29.15,76,81,2.07,SB,1697075127
180,zadar,44.1197,15.2422,12.34,100,0,2.06,HR,1697075127
181,neiafu,-18.65,-173.9833,26.38,73,40,4.12,TO,1697075127
182,nkove,-7.95,30.85,24.86,64,100,0.29,TZ,1697075127
183,dalcahue,-42.3628,-73.7022,7.06,76,44,6.69,CL,1697075128
184,lae,-6.7221,146.9847,30.37,83,99,1.89,PG,1697075128
185,nouadhibou,20.931,-17.0347,28.99,34,61,5.66,MR,1697075128
186,port isabel,26.0734,-97.2086,24.45,87,100,2.68,US,1697075128
187,mezhdurechenskiy,59.6,65.9333,3.5,89,100,2.68,RU,1697075129
188,qianjiang,30.4151,112.8859,17.53,70,100,2.5,CN,1697075129
189,phang nga,8.4509,98.5298,29.02,80,100,0.63,TH,1697075129
190,tyukhtet,56.5389,89.3011,7.35,66,100,5.09,RU,1697075129
191,rajapalaiyam,9.45,77.5667,26.55,78,100,0.78,IN,1697075130
192,general mosconi,-23.1851,-62.303,19.02,63,59,9.71,AR,1697075130
193,borzya,50.3833,116.5167,12.01,45,0,4.5,RU,1697075130
194,stawell,-37.05,142.7667,13.29,68,100,7.47,AU,1697075130
195,mutuali,-14.8706,37.0044,21.23,73,13,1.29,MZ,1697075130
196,dunedin,-45.8742,170.5036,14.79,53,68,4.8,NZ,1697074347
197,zaragoza,41.6561,-0.8773,17.79,44,0,2.24,ES,1697075131
198,camapua,-19.5314,-54.0439,28.32,53,93,2.16,BR,1697075131
199,saku,36.2167,138.4833,19.32,53,11,1.1,JP,1697074857
200,ilulissat,69.2167,-51.1,-3.99,74,100,2.57,GL,1697075101
201,alice springs,-23.7,133.8833,31.75,9,4,6.17,AU,1697074498
202,sitka,57.0531,-135.33,11.94,54,0,0.0,US,1697074623
203,puerto baquerizo moreno,-0.9,-89.6,24.17,81,84,5.22,EC,1697075103
204,ascope,-7.7144,-79.1078,17.63,72,69,1.75,PE,1697075132
205,akrehamn,59.2667,5.1833,10.56,71,100,15.43,NO,1697075132
206,zeerust,-25.5369,26.0751,18.92,55,94,3.35,ZA,1697075132
207,suva,-18.1416,178.4415,27.71,69,75,4.63,FJ,1697074910
208,greenville,35.6127,-77.3663,17.29,93,0,0.0,US,1697075093
209,new norfolk,-42.7826,147.0587,16.07,52,100,5.67,AU,1697075133
210,n'zeto,-7.2312,12.8666,24.66,86,100,4.61,AO,1697074596
211,majene,-3.5403,118.9707,30.47,58,10,5.47,ID,1697075133
212,ust-tsilma,65.441,52.1498,-0.22,80,50,1.34,RU,1697075133
213,kijang,35.2442,129.2139,18.85,49,1,4.88,KR,1697075133
214,katsuren-haebaru,26.3369,127.8719,29.01,69,75,7.2,JP,1697075134
215,ebon,4.582,168.6964,28.98,69,21,1.69,MH,1697075134
216,rio gallegos,-51.6226,-69.2181,7.03,57,0,11.83,AR,1697074609
217,brookings,44.3114,-96.7984,13.0,49,0,5.66,US,1697075134
218,sur,22.5667,59.5289,29.08,50,0,2.0,OM,1697074607
219,vila franca do campo,37.7167,-25.4333,20.23,99,89,4.37,PT,1697074571
220,itoman,26.1247,127.6694,29.01,63,75,7.2,JP,1697075135
221,seminole,28.7086,-81.2081,25.68,91,100,5.66,US,1697075135
222,saipan,15.1355,145.701,29.39,84,100,9.26,MP,1697075135
223,natal,-5.795,-35.2094,26.12,78,20,4.12,BR,1697075038
224,mhamid,29.82,-5.72,22.35,28,83,2.38,MA,1697075135
225,kantang,7.4054,99.5156,28.88,99,20,0.0,TH,1697075135
226,skeldon,5.8833,-57.1333,26.23,79,0,3.27,GY,1697075136
227,desur,12.4333,79.4833,26.54,81,99,2.13,IN,1697075136
228,vieste,41.8825,16.175,21.89,61,3,0.94,IT,1697075136
229,kodiak,57.79,-152.4072,4.73,48,100,5.14,US,1697075019
230,pueblo,38.2545,-104.6091,20.47,35,0,4.63,US,1697075136
231,as samawah,31.332,45.2944,30.91,19,33,4.07,IQ,1697075137
232,gizo,-8.103,156.8419,28.39,76,99,2.26,SB,1697075137
233,maydolong,11.4992,125.5011,29.67,65,100,2.14,PH,1697075137
234,reggane,26.7158,0.1714,26.86,23,0,9.86,DZ,1697075137
235,san jose del cabo,23.0589,-109.6977,30.6,62,20,4.12,MX,1697075081
236,igrim,63.1906,64.4162,2.79,85,100,5.81,RU,1697075137
237,namibe,-15.1961,12.1522,20.4,82,99,1.61,AO,1697074609
238,margate,51.3813,1.3862,15.73,94,100,0.89,GB,1697075138
239,malabar,-33.9667,151.25,33.75,45,0,4.63,AU,1697075138
240,markala,13.7021,-6.0659,27.62,59,94,4.4,ML,1697075138
241,ngereklmadel,7.4883,134.4856,30.05,74,75,6.69,PW,1697075139
242,ranau,5.9538,116.6641,25.48,85,100,0.15,MY,1697075139
243,kavaratti,10.5669,72.642,28.51,65,100,2.52,IN,1697075139
244,kapa'a,22.0752,-159.319,29.99,74,0,6.17,US,1697075139
245,anjozorobe,-18.4,47.8667,13.03,86,23,0.51,MG,1697075139
246,salinopolis,-0.6136,-47.3561,27.03,77,5,4.9,BR,1697075140
247,revda,56.801,59.9303,1.62,96,100,3.55,RU,1697074581
248,road town,18.4167,-64.6167,29.02,74,40,3.6,VG,1697074879
249,yasnogorsk,54.4803,37.6975,4.12,46,100,10.72,RU,1697075140
250,lesnoy,57.6198,63.0784,3.16,96,100,3.22,RU,1697075141
251,mabaruma,8.2,-59.7833,25.08,83,0,1.33,GY,1697075141
252,dalandzadgad,43.5708,104.425,13.52,23,0,2.91,MN,1697074580
253,chernyshevskiy,63.0128,112.4714,3.5,82,100,1.04,RU,1697075141
254,taki,22.5861,88.9214,28.97,71,0,1.58,IN,1697075141
255,papao,-17.75,-149.55,29.82,78,6,8.11,PF,1697075141
256,salalah,17.0151,54.0924,26.05,83,0,1.54,OM,1697075142
257,colesberg,-30.72,25.0972,14.36,67,100,8.1,ZA,1697075142
258,adam,22.3756,57.5233,25.41,45,0,1.92,OM,1697075142
259,tolanaro,-25.0319,46.9987,21.04,94,75,4.12,MG,1697074597
260,cox's bazar,21.4532,91.9798,26.49,84,100,2.7,BD,1697075142
261,gebeit,21.0667,36.3167,23.33,74,0,2.14,SD,1697074619
262,okha,53.5739,142.9478,10.65,71,100,7.27,RU,1697075143
263,devonport,-41.1667,146.35,13.07,87,100,0.89,AU,1697075143
264,bumba,2.1833,22.4667,20.6,96,100,0.83,CD,1697075143
265,ravar,31.2656,56.8055,22.34,22,2,2.4,IR,1697075143
266,diano marina,43.9103,8.0793,21.69,100,10,1.14,IT,1697075143
267,pasni,25.2631,63.471,26.46,88,0,2.57,PK,1697075144
268,borodulikha,50.7184,80.9295,8.27,64,100,2.77,KZ,1697075144
269,vilyuchinsk,52.9306,158.4028,6.15,79,99,0.1,RU,1697074554
270,barra de santo antonio,-9.4047,-35.5072,23.6,81,3,3.29,BR,1697075144
271,uliastay,47.7417,96.8444,6.97,53,0,1.39,MN,1697075144
272,brisas de zicatela,15.8369,-97.0419,28.29,57,75,4.63,MX,1697074568
273,piton saint-leu,-21.2196,55.3151,19.06,60,0,3.09,RE,1697075145
274,sinabang,2.4803,96.3801,25.48,90,100,2.16,ID,1697074560
275,puerto lempira,15.2667,-83.7667,27.23,87,20,4.26,HN,1697075145
276,cuatro cienegas de carranza,26.9833,-102.0833,25.97,47,13,1.66,MX,1697075145
277,happy valley-goose bay,53.3168,-60.3315,11.17,93,75,0.0,CA,1697074586
278,dossor,47.5272,52.9811,6.86,84,100,8.34,KZ,1697075146
279,la ronge,55.1001,-105.2842,12.14,58,0,4.63,CA,1697074616
280,along,28.1667,94.7667,21.83,85,36,0.26,IN,1697075146
281,abepura,-2.6333,140.5833,29.45,74,40,2.57,ID,1697075146
282,laojunmiao,39.8333,97.7333,11.13,30,100,1.0,CN,1697074601
283,bel ombre,-4.6167,55.4167,25.91,89,20,1.54,SC,1697074553
284,east london,-33.0153,27.9116,19.16,89,100,7.25,ZA,1697074548
285,aripuana,-9.1667,-60.6333,26.7,61,29,0.84,BR,1697074876
286,tibanbang,6.6315,126.1055,28.55,71,100,1.77,PH,1697075147
287,karanpur,29.8419,73.4542,25.1,27,0,2.22,IN,1697075147
288,rufino,-34.2683,-62.7126,7.37,34,5,2.95,AR,1697075147
289,raja,8.4596,25.678,20.37,94,100,2.06,SS,1697075148
290,mudgee,-32.5943,149.5871,28.77,17,7,6.82,AU,1697075148
291,san luis de la loma,17.2706,-100.8939,25.47,84,100,1.45,MX,1697074578
292,lerwick,60.1545,-1.1494,9.0,68,23,11.85,GB,1697075148
293,yurimaguas,-5.9,-76.0833,27.93,51,35,0.33,PE,1697075148
294,vorkuta,67.5,64.0,-0.45,83,100,0.81,RU,1697075148
295,brest,52.1,23.7,15.43,72,100,8.3,BY,1697075149
296,vilyuysk,63.7553,121.6247,6.2,60,27,5.81,RU,1697074571
297,cadale,2.7603,46.3222,26.34,83,40,3.87,SO,1697075149
298,kulunda,52.566,78.9385,8.6,49,100,2.18,RU,1697075149
299,turis,39.3833,-0.7,18.98,90,0,1.45,ES,1697075149
300,luwuk,-0.9516,122.7875,30.77,54,66,3.71,ID,1697075149
301,lebu,-37.6167,-73.65,9.73,86,0,9.12,CL,1697075150
302,kidal,18.4411,1.4078,27.75,16,12,2.73,ML,1697074556
303,santander jimenez,24.2167,-98.4667,22.64,84,90,2.45,MX,1697075150
304,sangueya,10.7,-14.3667,24.08,96,98,0.63,GN,1697075150
305,santana,-0.0583,-51.1817,29.1,74,20,4.12,BR,1697075150
306,panacan,9.2463,118.4082,28.78,73,100,2.61,PH,1697075151
307,prince albert,53.2001,-105.7677,8.97,66,20,6.17,CA,1697074944
308,chonchi,-42.6128,-73.8092,7.56,75,79,2.99,CL,1697075151
309,trinidad,-14.8333,-64.9,31.11,41,85,2.77,BO,1697074988
310,alofi,-19.0595,-169.9187,27.94,61,75,6.69,NU,1697075097
311,bardai,11.65,7.2333,23.19,54,55,1.91,NG,1697074591
312,anloga,5.7947,0.8973,26.12,88,100,5.46,GH,1697075151
313,nogliki,51.8333,143.1667,11.86,58,84,6.26,RU,1697075152
314,siracusa,37.0881,15.2792,19.77,68,0,0.97,IT,1697075152
315,bengkulu,-3.8004,102.2655,27.55,73,91,1.55,ID,1697074886
316,concordia,-31.393,-58.0209,11.55,83,100,4.02,AR,1697075152
317,anadyr,64.75,177.4833,1.28,74,75,19.0,RU,1697075152
318,karratha,-20.7377,116.8463,34.96,19,2,3.0,AU,1697074442
319,el abiodh sidi cheikh,32.893,0.5484,16.97,43,3,1.87,DZ,1697075153
320,kagizman,40.1567,43.1342,2.15,80,0,2.17,TR,1697075153
321,birjand,32.8663,59.2211,11.26,24,0,2.06,IR,1697075153
322,talnakh,69.4865,88.3972,-0.44,96,100,1.1,RU,1697075153
323,tienen,50.8077,4.9418,18.48,77,75,4.63,BE,1697075154
324,touros,-5.1989,-35.4608,25.44,78,48,6.9,BR,1697075154
325,dullewala,31.8359,71.4362,25.89,24,0,1.92,PK,1697075154
326,ancud,-41.8697,-73.8203,6.17,84,31,2.95,CL,1697075154
327,san antonio de pale,-1.4014,5.6325,25.41,82,100,4.61,GQ,1697075154
328,remire-montjoly,4.9167,-52.2667,27.02,83,0,2.06,GF,1697075154
329,sao joao da barra,-21.6403,-41.0511,22.91,86,49,8.89,BR,1697075155
330,bosaso,11.2842,49.1816,28.84,70,68,0.52,SO,1697075155
331,la reforma,25.0833,-108.05,27.23,77,1,3.3,MX,1697075155
332,coquimbo,-29.9533,-71.3436,12.85,82,0,1.54,CL,1697074467
333,luanda,-8.8368,13.2343,25.0,78,100,3.09,AO,1697075155
334,pandan,14.0453,124.1694,28.64,82,76,2.99,PH,1697074593
335,tongliao,43.6125,122.2653,20.03,34,1,3.14,CN,1697075156
336,pyapon,16.2833,95.6833,27.48,82,59,2.46,MM,1697075156
337,fiche,9.8,38.7333,9.28,76,100,1.22,ET,1697075156
338,ketchikan,55.3422,-131.6461,12.99,76,0,3.09,US,1697075156
339,valdivia,-39.8142,-73.2459,4.27,93,0,1.41,CL,1697075156
340,arraial do cabo,-22.9661,-42.0278,23.92,83,0,6.69,BR,1697074568
341,fisterra,42.9049,-9.2629,18.75,83,81,5.45,ES,1697075157
342,poronaysk,49.2167,143.1167,14.05,46,9,4.38,RU,1697075157
343,haiku-pauwela,20.9219,-156.3051,27.36,63,20,7.2,US,1697074402
344,sao vicente,-23.9631,-46.3919,30.71,75,29,1.33,BR,1697075157
345,sanibel,26.449,-82.0223,29.01,89,100,4.47,US,1697075153
346,kadom,54.5592,42.4675,4.05,51,100,9.05,RU,1697075158
347,juruti,-2.1522,-56.0922,29.18,41,33,1.41,BR,1697075158
348,gridley,39.3638,-121.6936,23.14,28,0,4.12,US,1697075158
349,valasske klobouky,49.1406,18.0076,11.96,95,19,1.91,CZ,1697075158
350,pokhara,28.2333,83.9833,21.0,74,0,0.68,NP,1697074982
351,sambava,-14.2667,50.1667,21.21,90,65,2.86,MG,1697075159
352,namsos,64.4662,11.4957,7.03,87,75,1.03,NO,1697074611
353,enewetak,11.3474,162.3373,28.57,74,44,5.5,MH,1697075159
354,gogrial,8.5332,28.1004,22.7,90,100,2.46,SS,1697075159
355,masina,-4.3836,15.3914,25.16,88,40,3.09,CD,1697075159
356,port alfred,-33.5906,26.891,16.77,98,100,2.24,ZA,1697074583
357,konstantinovka,49.6167,127.9833,17.53,37,70,4.42,RU,1697075160
358,susuman,62.7833,148.1667,-12.23,77,53,0.89,RU,1697075160
359,ca mau,9.1769,105.15,29.54,76,77,2.44,VN,1697075160
360,yakeshi,49.2833,120.7333,12.74,41,0,3.15,CN,1697074625
361,hadibu,12.65,54.0333,26.9,82,88,2.05,YE,1697075160
362,tremonton,41.7119,-112.1655,9.81,53,75,4.92,US,1697075160
363,conduaga,8.862,117.4893,29.7,68,100,1.56,PH,1697075161
364,hanumangarh,29.5833,74.3167,25.11,27,0,1.47,IN,1697075161
365,lexington,37.9887,-84.4777,16.0,56,0,3.09,US,1697075061
366,broome,42.2506,-75.833,12.21,83,100,2.06,US,1697074586
